id_candidato,edad,genero,nivel_educativo,titulo,experiencia_anios,habilidades,idiomas,puesto_deseado,localidad,disponibilidad_horaria,trabajo_actual,sector_experiencia,ultima_actualizacion,pretension_salarial
27,44,Femenino,Terciario,Administracion,10,Excel,Ingles - Basico,Recepcionista,cordoba,Remoto,Si,Educacion,2024-08-01,496947
28,59,Masculino,Universitario,Arquitectura,5,Comunicacion,Sin idiomas,Analista de datos,rosario,Remoto,Si,Salud,2024-07-26,410091
29,45,Otro,Universitario,Contador Publico,5,Redaccion,Sin idiomas,Docente,rosario,Part-Time,Si,Salud,2024-10-28,446331
30,33,Femenino,Universitario,Contador Publico,8,Redaccion,Ingles - Basico,Asistente administrativo,cordoba,Remoto,No,Comercio,2025-03-07,562867
31,32,Femenino,Terciario,Marketing,14,Comunicacion,Sin idiomas,Disenador grafico,mendoza,Remoto,No,Tecnologia,2025-04-16,533454
32,20,Masculino,Terciario,Recursos Humanos,1,Redaccion,Ingles - Intermedio,Docente,neuquen,Remoto,No,Tecnologia,2024-05-25,295648
33,54,Masculino,Terciario,Administracion,3,Diseno UX/UI,Sin idiomas,Enfermero/a,mendoza,Part-Time,Si,Educacion,2024-05-13,347412
34,24,Femenino,Universitario,Arquitectura,4,Excel,Portugues - Basico,Recepcionista,mendoza,Part-Time,Si,Salud,2024-11-17,418764
35,38,Masculino,Universitario,Ingenieria,16,Ingles,Sin idiomas,Tecnico en sistemas,neuquen,Full-Time,Si,Educacion,2024-08-26,531856
36,26,Femenino,Secundario,Marketing,7,Diseno UX/UI,Ingles - Avanzado,Vendedor,salta,Part-Time,Si,Educacion,2024-11-21,410082
37,56,Otro,Terciario,Arquitectura,7,Redaccion,Portugues - Intermedio,Analista de datos,rosario,Full-Time,No,Contabilidad,2024-12-20,436410
38,35,Masculino,Posgrado,Psicologia,21,Python,Ingles - Intermedio,Vendedor,tucuman,Part-Time,No,Salud,2024-10-09,721053
39,21,Femenino,Universitario,Contador Publico,11,Diseno UX/UI,Ingles - Intermedio,Docente,cordoba,Remoto,No,Educacion,2024-09-27,544305
40,42,Otro,Posgrado,Marketing,20,Python,Sin idiomas,Analista de datos,rosario,Full-Time,Si,Salud,2024-08-21,685937
41,31,Otro,Universitario,Ingenieria,7,Comunicacion,Portugues - Intermedio,Contador/a,mendoza,Full-Time,Si,Educacion,2025-04-18,380120
42,26,Femenino,Terciario,Medicina,18,Atencion al cliente,Portugues - Intermedio,Asistente administrativo,cordoba,Full-Time,No,Legal,2024-11-20,617631
43,43,Masculino,Universitario,Ingenieria,2,Ventas,Frances - Basico,Recepcionista,tucuman,Part-Time,Si,Educacion,2024-06-29,391165
44,19,Femenino,Universitario,Psicologia,17,Redaccion,Portugues - Intermedio,Enfermero/a,rosario,Full-Time,No,Educacion,2025-02-25,602678
45,37,Otro,Secundario,Marketing,20,Ventas,Sin idiomas,Docente,rosario,Part-Time,Si,Diseno,2024-07-22,548094
46,45,Femenino,Universitario,Psicologia,18,Excel,Sin idiomas,Tecnico en sistemas,salta,Full-Time,Si,Legal,2025-03-02,586697
47,24,Masculino,Universitario,Administracion,18,Python,Ingles - Basico,Asistente administrativo,rosario,Part-Time,Si,Tecnologia,2024-10-14,574996
48,25,Otro,Secundario,Administracion,14,Diseno UX/UI,Ingles - Avanzado,Enfermero/a,rosario,Full-Time,Si,Salud,2025-04-04,449550
49,52,Femenino,Universitario,Medicina,5,Ventas,Frances - Basico,Vendedor,tucuman,Remoto,Si,Diseno,2024-10-18,414913
50,31,Masculino,Universitario,Contador Publico,15,SQL,Sin idiomas,Asistente administrativo,tucuman,Remoto,No,Comercio,2024-10-28,541066
51,34,Otro,Posgrado,Recursos Humanos,7,Redaccion,Ingles - Basico,Enfermero/a,cordoba,Full-Time,No,Legal,2024-11-24,543759
52,53,Masculino,Secundario,Abogacia,15,Ventas,Frances - Basico,Enfermero/a,mendoza,Part-Time,No,Diseno,2025-03-02,519937
53,57,Otro,Terciario,Arquitectura,17,Diseno UX/UI,Ingles - Avanzado,Vendedor,tucuman,Part-Time,Si,Tecnologia,2024-11-22,613812
54,21,Femenino,Universitario,Psicologia,19,Diseno UX/UI,Frances - Basico,Enfermero/a,cordoba,Part-Time,No,Educacion,2025-04-28,577928
55,19,Masculino,Terciario,Arquitectura,15,Excel,Ingles - Basico,Disenador grafico,rosario,Remoto,No,Contabilidad,2024-08-17,529098
56,23,Otro,Universitario,Medicina,10,Project Management,Portugues - Basico,Analista de datos,cordoba,Remoto,Si,Tecnologia,2025-04-30,492906
57,59,Masculino,Universitario,Arquitectura,6,Ingles,Sin idiomas,Disenador grafico,cordoba,Remoto,Si,Legal,2025-04-24,402756
58,21,Masculino,Secundario,Arquitectura,16,SQL,Ingles - Avanzado,Vendedor,cordoba,Part-Time,No,Contabilidad,2025-04-14,527334
59,46,Femenino,Universitario,Ingenieria,16,Ventas,Ingles - Intermedio,Abogado/a,neuquen,Part-Time,No,Educacion,2025-01-05,573462
60,35,Masculino,Universitario,Marketing,11,Ingles,Ingles - Avanzado,Asistente administrativo,cordoba,Part-Time,No,Tecnologia,2024-10-11,497983
61,43,Otro,Terciario,Contador Publico,12,SQL,Ingles - Avanzado,Contador/a,tucuman,Full-Time,No,Comercio,2025-05-10,555653
62,51,Otro,Posgrado,Abogacia,9,Project Management,Ingles - Avanzado,Tecnico en sistemas,san juan,Full-Time,No,Salud,2025-02-27,506346
63,27,Otro,Universitario,Marketing,6,Ventas,Portugues - Basico,Tecnico en sistemas,san juan,Full-Time,Si,Salud,2024-07-31,444385
64,53,Otro,Universitario,Ingenieria,13,SQL,Sin idiomas,Docente,san juan,Remoto,No,Legal,2024-06-02,551189
65,31,Femenino,Universitario,Arquitectura,22,Ingles,Ingles - Basico,Docente,san juan,Remoto,No,Diseno,2024-07-09,688378
66,48,Masculino,Terciario,Abogacia,0,Python,Sin idiomas,Vendedor,neuquen,Part-Time,No,Educacion,2024-07-09,317514
67,32,Femenino,Posgrado,Ingenieria,16,Diseno UX/UI,Ingles - Intermedio,Docente,mendoza,Full-Time,No,Educacion,2024-11-11,590378
68,25,Masculino,Universitario,Ingenieria,3,Atencion al cliente,Ingles - Basico,Tecnico en sistemas,cordoba,Part-Time,No,Salud,2024-09-23,390004
69,31,Masculino,Universitario,Ingenieria,20,Comunicacion,Frances - Basico,Disenador grafico,salta,Full-Time,No,Tecnologia,2025-03-04,674704
70,40,Masculino,Posgrado,Administracion,4,Redaccion,Frances - Basico,Contador/a,san juan,Full-Time,Si,Educacion,2024-09-07,453787
71,57,Femenino,Terciario,Abogacia,19,Atencion al cliente,Frances - Basico,Tecnico en sistemas,rosario,Part-Time,Si,Comercio,2024-12-27,597789
72,38,Masculino,Universitario,Ingenieria,23,Ventas,Ingles - Basico,Disenador grafico,san juan,Part-Time,Si,Comercio,2024-08-18,708035
73,33,Femenino,Secundario,Recursos Humanos,22,Ventas,Portugues - Intermedio,Abogado/a,san juan,Full-Time,No,Educacion,2024-10-03,624163
74,35,Otro,Terciario,Arquitectura,24,SQL,Portugues - Basico,Vendedor,rosario,Full-Time,No,Educacion,2025-01-24,681016
75,41,Otro,Terciario,Abogacia,6,Diseno UX/UI,Portugues - Intermedio,Recepcionista,neuquen,Remoto,Si,Salud,2025-01-22,395795
76,43,Masculino,Posgrado,Administracion,9,Project Management,Sin idiomas,Abogado/a,rosario,Part-Time,No,Legal,2024-06-11,489551
77,42,Femenino,Posgrado,Psicologia,16,Excel,Frances - Basico,Abogado/a,rosario,Part-Time,No,Salud,2025-03-17,640239
78,58,Otro,Universitario,Psicologia,6,SQL,Portugues - Basico,Tecnico en sistemas,neuquen,Part-Time,No,Legal,2024-09-08,432772
79,46,Femenino,Universitario,Contador Publico,0,Excel,Ingles - Basico,Vendedor,rosario,Part-Time,Si,Comercio,2025-02-19,344058
80,32,Femenino,Universitario,Diseno Grafico,6,Comunicacion,Frances - Basico,Analista de datos,cordoba,Full-Time,Si,Legal,2024-11-26,386584
81,18,Masculino,Posgrado,Recursos Humanos,23,Ingles,Ingles - Basico,Enfermero/a,san juan,Remoto,Si,Salud,2025-04-14,695723
82,42,Otro,Terciario,Psicologia,10,SQL,Portugues - Basico,Abogado/a,mendoza,Part-Time,No,Educacion,2025-02-03,462761
83,24,Masculino,Terciario,Administracion,8,Comunicacion,Ingles - Basico,Docente,neuquen,Full-Time,Si,Legal,2024-06-09,415126
84,26,Masculino,Secundario,Diseno Grafico,11,Redaccion,Ingles - Basico,Disenador grafico,salta,Full-Time,Si,Salud,2024-10-15,465649
85,41,Otro,Universitario,Ingenieria,2,SQL,Ingles - Intermedio,Analista de datos,neuquen,Full-Time,Si,Comercio,2024-09-29,357125
86,18,Otro,Universitario,Ingenieria,3,Diseno UX/UI,Sin idiomas,Vendedor,tucuman,Full-Time,No,Contabilidad,2024-12-05,387399
87,25,Femenino,Terciario,Medicina,3,Diseno UX/UI,Portugues - Intermedio,Recepcionista,salta,Full-Time,Si,Legal,2024-10-26,368645
88,41,Otro,Secundario,Arquitectura,24,Ventas,Portugues - Intermedio,Contador/a,tucuman,Part-Time,Si,Comercio,2025-04-18,631328
89,28,Femenino,Universitario,Diseno Grafico,12,Redaccion,Portugues - Intermedio,Analista de datos,neuquen,Part-Time,No,Comercio,2024-10-07,508039
90,34,Femenino,Secundario,Arquitectura,22,Ventas,Ingles - Avanzado,Recepcionista,tucuman,Remoto,Si,Tecnologia,2025-03-12,632321
91,25,Femenino,Universitario,Administracion,18,Excel,Ingles - Intermedio,Tecnico en sistemas,salta,Part-Time,No,Contabilidad,2024-07-04,645528
92,52,Otro,Posgrado,Recursos Humanos,9,Atencion al cliente,Frances - Basico,Asistente administrativo,cordoba,Full-Time,No,Legal,2024-08-12,502701
93,52,Masculino,Terciario,Diseno Grafico,4,Project Management,Frances - Basico,Enfermero/a,neuquen,Remoto,Si,Salud,2025-01-01,360142
94,50,Femenino,Terciario,Psicologia,6,Redaccion,Frances - Basico,Tecnico en sistemas,neuquen,Full-Time,Si,Legal,2024-10-29,421970
95,22,Masculino,Universitario,Recursos Humanos,23,Ingles,Portugues - Intermedio,Vendedor,rosario,Full-Time,Si,Legal,2024-10-29,736226
96,59,Masculino,Universitario,Medicina,15,Project Management,Sin idiomas,Asistente administrativo,neuquen,Part-Time,No,Contabilidad,2024-06-01,592501
97,56,Otro,Universitario,Arquitectura,0,Project Management,Portugues - Intermedio,Recepcionista,san juan,Full-Time,Si,Diseno,2024-08-21,356425
98,58,Masculino,Posgrado,Arquitectura,11,Python,Sin idiomas,Asistente administrativo,san juan,Part-Time,Si,Comercio,2024-10-09,546767
99,45,Masculino,Secundario,Recursos Humanos,1,SQL,Ingles - Intermedio,Contador/a,neuquen,Full-Time,Si,Comercio,2024-06-13,358198
100,24,Otro,Universitario,Ingenieria,6,Ingles,Sin idiomas,Docente,cordoba,Remoto,No,Comercio,2025-01-03,462268
101,26,Femenino,Universitario,Arquitectura,10,Redaccion,Ingles - Basico,Docente,rosario,Full-Time,No,Comercio,2024-10-24,507002
102,25,Masculino,Posgrado,Medicina,12,Ventas,Portugues - Intermedio,Tecnico en sistemas,mendoza,Part-Time,No,Contabilidad,2024-11-14,572059
103,29,Otro,Secundario,Psicologia,1,Excel,Frances - Basico,Tecnico en sistemas,tucuman,Full-Time,Si,Salud,2025-04-08,282551
104,51,Masculino,Universitario,Abogacia,6,SQL,Ingles - Basico,Vendedor,salta,Part-Time,Si,Educacion,2025-04-26,384933
105,50,Masculino,Universitario,Psicologia,14,Python,Portugues - Intermedio,Vendedor,mendoza,Part-Time,No,Tecnologia,2024-12-02,554712
106,40,Femenino,Terciario,Psicologia,24,Excel,Portugues - Basico,Disenador grafico,rosario,Remoto,Si,Diseno,2024-07-31,682060
107,41,Masculino,Secundario,Arquitectura,10,Redaccion,Ingles - Avanzado,Contador/a,san juan,Part-Time,Si,Diseno,2025-02-10,433683
108,54,Otro,Posgrado,Marketing,1,Atencion al cliente,Portugues - Intermedio,Vendedor,san juan,Remoto,No,Comercio,2024-05-25,399775
109,52,Masculino,Secundario,Ingenieria,6,Project Management,Portugues - Basico,Abogado/a,san juan,Remoto,No,Comercio,2024-09-26,334115
110,57,Femenino,Terciario,Arquitectura,3,Python,Ingles - Intermedio,Contador/a,cordoba,Full-Time,No,Tecnologia,2024-07-17,348957
111,39,Femenino,Terciario,Ingenieria,10,Excel,Portugues - Basico,Disenador grafico,san juan,Remoto,Si,Comercio,2024-07-24,455452
112,44,Otro,Posgrado,Administracion,1,Ventas,Ingles - Intermedio,Docente,salta,Part-Time,Si,Educacion,2024-08-18,325911
113,52,Femenino,Universitario,Marketing,15,Python,Portugues - Intermedio,Analista de datos,tucuman,Part-Time,Si,Diseno,2024-11-12,609841
114,18,Masculino,Universitario,Arquitectura,6,Excel,Ingles - Intermedio,Disenador grafico,neuquen,Remoto,No,Legal,2024-09-12,389224
115,52,Femenino,Terciario,Contador Publico,12,Python,Portugues - Basico,Disenador grafico,neuquen,Full-Time,No,Tecnologia,2024-08-08,482350
116,54,Otro,Universitario,Psicologia,4,Ventas,Sin idiomas,Tecnico en sistemas,mendoza,Remoto,Si,Diseno,2024-08-08,427239
117,31,Femenino,Universitario,Administracion,16,Ventas,Ingles - Avanzado,Enfermero/a,tucuman,Remoto,No,Salud,2024-10-03,599381
118,20,Femenino,Universitario,Marketing,20,Ingles,Ingles - Basico,Asistente administrativo,rosario,Part-Time,No,Diseno,2024-06-18,606755
119,18,Femenino,Posgrado,Arquitectura,11,Diseno UX/UI,Ingles - Basico,Docente,tucuman,Full-Time,Si,Tecnologia,2025-02-08,545474
120,22,Otro,Secundario,Medicina,18,Project Management,Ingles - Avanzado,Recepcionista,cordoba,Full-Time,No,Educacion,2024-07-01,578693
121,43,Femenino,Universitario,Recursos Humanos,6,SQL,Frances - Basico,Recepcionista,mendoza,Full-Time,Si,Contabilidad,2024-06-21,499991
122,31,Femenino,Secundario,Recursos Humanos,5,SQL,Ingles - Basico,Vendedor,mendoza,Full-Time,No,Salud,2025-03-13,387118
123,56,Masculino,Universitario,Ingenieria,7,Redaccion,Portugues - Intermedio,Docente,cordoba,Part-Time,Si,Legal,2024-09-24,440763
124,44,Otro,Terciario,Marketing,12,Comunicacion,Frances - Basico,Abogado/a,tucuman,Full-Time,No,Comercio,2025-01-18,474305
125,26,Femenino,Terciario,Psicologia,4,Redaccion,Portugues - Intermedio,Vendedor,san juan,Full-Time,Si,Tecnologia,2025-03-24,357673
126,32,Otro,Terciario,Psicologia,1,Comunicacion,Portugues - Basico,Vendedor,cordoba,Full-Time,No,Salud,2025-04-15,310227
127,32,Femenino,Universitario,Abogacia,8,Python,Portugues - Basico,Disenador grafico,san juan,Part-Time,No,Tecnologia,2024-11-03,501132
128,43,Femenino,Terciario,Recursos Humanos,10,Comunicacion,Frances - Basico,Docente,salta,Part-Time,No,Legal,2024-08-22,470539
129,59,Femenino,Universitario,Administracion,23,Diseno UX/UI,Frances - Basico,Asistente administrativo,cordoba,Full-Time,No,Tecnologia,2024-10-30,701957
130,30,Masculino,Terciario,Marketing,5,Diseno UX/UI,Frances - Basico,Vendedor,san juan,Part-Time,No,Diseno,2025-02-13,440427
131,49,Masculino,Secundario,Psicologia,6,Project Management,Frances - Basico,Enfermero/a,tucuman,Remoto,Si,Diseno,2025-03-30,319247
132,56,Masculino,Universitario,Abogacia,24,Excel,Ingles - Intermedio,Contador/a,san juan,Full-Time,Si,Salud,2024-08-18,738366
133,49,Otro,Terciario,Marketing,6,SQL,Sin idiomas,Abogado/a,cordoba,Part-Time,Si,Educacion,2024-12-27,411661
134,21,Otro,Terciario,Diseno Grafico,18,Project Management,Frances - Basico,Abogado/a,rosario,Full-Time,No,Contabilidad,2024-08-20,603051
135,47,Masculino,Universitario,Psicologia,5,Diseno UX/UI,Sin idiomas,Vendedor,neuquen,Full-Time,Si,Salud,2024-11-02,390148
136,54,Otro,Terciario,Diseno Grafico,10,Excel,Frances - Basico,Enfermero/a,cordoba,Part-Time,No,Tecnologia,2025-01-09,447347
137,40,Femenino,Secundario,Marketing,10,Redaccion,Portugues - Basico,Contador/a,neuquen,Remoto,No,Legal,2025-01-14,464665
138,56,Femenino,Terciario,Psicologia,6,SQL,Portugues - Intermedio,Analista de datos,cordoba,Full-Time,Si,Diseno,2024-10-28,481537
139,32,Femenino,Posgrado,Diseno Grafico,1,Ingles,Sin idiomas,Tecnico en sistemas,tucuman,Remoto,Si,Comercio,2025-01-02,405099
140,46,Masculino,Universitario,Contador Publico,18,SQL,Portugues - Basico,Tecnico en sistemas,salta,Part-Time,No,Comercio,2025-03-24,647965
141,53,Otro,Universitario,Abogacia,3,Python,Ingles - Basico,Tecnico en sistemas,salta,Full-Time,No,Legal,2024-11-14,379240
142,30,Masculino,Universitario,Administracion,5,Atencion al cliente,Ingles - Intermedio,Disenador grafico,neuquen,Part-Time,Si,Tecnologia,2025-02-05,396994
143,49,Otro,Secundario,Recursos Humanos,16,SQL,Ingles - Intermedio,Abogado/a,tucuman,Part-Time,Si,Contabilidad,2024-10-10,516576
144,24,Femenino,Terciario,Abogacia,24,Diseno UX/UI,Portugues - Intermedio,Recepcionista,san juan,Part-Time,No,Legal,2024-10-27,665352
145,39,Masculino,Universitario,Diseno Grafico,4,Python,Frances - Basico,Recepcionista,tucuman,Part-Time,No,Tecnologia,2024-08-01,338417
146,45,Otro,Secundario,Psicologia,6,Ventas,Portugues - Basico,Disenador grafico,tucuman,Full-Time,Si,Salud,2025-05-06,368253
147,19,Otro,Terciario,Contador Publico,8,Comunicacion,Ingles - Basico,Vendedor,rosario,Remoto,No,Contabilidad,2025-03-09,423190
148,59,Femenino,Terciario,Contador Publico,24,Redaccion,Portugues - Basico,Docente,mendoza,Remoto,No,Educacion,2025-05-02,674740
149,23,Masculino,Terciario,Recursos Humanos,0,Ingles,Frances - Basico,Docente,cordoba,Full-Time,Si,Tecnologia,2024-12-09,323952
150,45,Masculino,Posgrado,Contador Publico,0,Redaccion,Frances - Basico,Tecnico en sistemas,tucuman,Full-Time,Si,Comercio,2025-02-11,370873
151,45,Masculino,Secundario,Abogacia,18,Ventas,Ingles - Avanzado,Docente,tucuman,Remoto,No,Comercio,2024-10-29,569553
152,37,Femenino,Universitario,Arquitectura,5,Atencion al cliente,Portugues - Basico,Vendedor,tucuman,Remoto,No,Diseno,2025-03-07,397557
153,47,Masculino,Secundario,Contador Publico,17,SQL,Portugues - Intermedio,Analista de datos,salta,Full-Time,Si,Contabilidad,2024-07-29,496100
154,28,Femenino,Posgrado,Recursos Humanos,9,Project Management,Portugues - Basico,Disenador grafico,tucuman,Part-Time,No,Educacion,2024-11-07,477741
155,45,Femenino,Secundario,Contador Publico,10,Python,Ingles - Intermedio,Analista de datos,cordoba,Full-Time,Si,Tecnologia,2025-04-29,420827
156,42,Femenino,Terciario,Contador Publico,0,Ingles,Ingles - Basico,Abogado/a,san juan,Remoto,No,Educacion,2024-12-04,333982
157,56,Otro,Universitario,Medicina,0,Ventas,Sin idiomas,Docente,san juan,Part-Time,Si,Diseno,2024-09-02,367278
158,50,Masculino,Universitario,Abogacia,12,Atencion al cliente,Portugues - Intermedio,Contador/a,tucuman,Remoto,No,Salud,2024-07-18,548157
159,18,Masculino,Terciario,Diseno Grafico,4,Redaccion,Ingles - Avanzado,Tecnico en sistemas,cordoba,Part-Time,No,Educacion,2025-04-08,402708
160,44,Femenino,Terciario,Ingenieria,19,Ventas,Ingles - Basico,Disenador grafico,rosario,Remoto,No,Salud,2025-04-24,600995
161,30,Femenino,Terciario,Arquitectura,0,Ingles,Ingles - Basico,Tecnico en sistemas,san juan,Part-Time,Si,Comercio,2024-09-01,304342
162,58,Masculino,Terciario,Contador Publico,19,Ingles,Sin idiomas,Docente,mendoza,Full-Time,Si,Salud,2025-03-13,582587
163,20,Femenino,Terciario,Administracion,2,Atencion al cliente,Ingles - Intermedio,Asistente administrativo,salta,Full-Time,Si,Tecnologia,2025-01-26,304776
164,56,Masculino,Terciario,Contador Publico,17,Redaccion,Ingles - Intermedio,Docente,cordoba,Part-Time,No,Contabilidad,2025-01-06,604755
165,23,Otro,Terciario,Medicina,8,Diseno UX/UI,Ingles - Intermedio,Disenador grafico,san juan,Part-Time,No,Contabilidad,2024-09-15,434759
166,25,Femenino,Terciario,Diseno Grafico,13,Ingles,Portugues - Intermedio,Recepcionista,san juan,Full-Time,Si,Tecnologia,2025-01-16,477610
167,44,Masculino,Universitario,Administracion,16,Python,Portugues - Basico,Disenador grafico,neuquen,Full-Time,Si,Tecnologia,2024-07-29,555206
168,26,Femenino,Posgrado,Arquitectura,22,Python,Ingles - Basico,Enfermero/a,rosario,Part-Time,No,Tecnologia,2024-08-16,663991
169,54,Masculino,Universitario,Administracion,13,Comunicacion,Portugues - Basico,Contador/a,mendoza,Part-Time,No,Legal,2025-05-02,536290
170,50,Masculino,Secundario,Abogacia,3,Redaccion,Portugues - Basico,Docente,mendoza,Full-Time,No,Diseno,2025-02-04,377024
171,59,Femenino,Secundario,Recursos Humanos,4,Ventas,Ingles - Intermedio,Enfermero/a,mendoza,Remoto,No,Salud,2025-01-03,349561
172,41,Otro,Posgrado,Recursos Humanos,20,Python,Portugues - Basico,Recepcionista,cordoba,Full-Time,Si,Tecnologia,2024-12-15,592424
173,32,Masculino,Terciario,Arquitectura,16,Atencion al cliente,Ingles - Basico,Vendedor,rosario,Part-Time,Si,Contabilidad,2024-10-14,554325
174,49,Masculino,Secundario,Diseno Grafico,21,Ventas,Ingles - Basico,Vendedor,tucuman,Part-Time,No,Educacion,2024-07-06,610315
175,49,Masculino,Universitario,Recursos Humanos,24,Redaccion,Frances - Basico,Contador/a,neuquen,Remoto,No,Educacion,2025-01-28,693253
176,41,Otro,Universitario,Marketing,1,Atencion al cliente,Ingles - Avanzado,Abogado/a,rosario,Full-Time,No,Legal,2024-11-16,336177
177,58,Otro,Universitario,Medicina,22,SQL,Portugues - Intermedio,Contador/a,rosario,Part-Time,Si,Salud,2024-12-27,676523
178,29,Femenino,Terciario,Arquitectura,21,Excel,Portugues - Basico,Contador/a,san juan,Full-Time,Si,Salud,2024-12-22,636984
179,56,Otro,Secundario,Arquitectura,4,Python,Portugues - Intermedio,Contador/a,rosario,Part-Time,No,Diseno,2024-08-13,359256
180,19,Femenino,Posgrado,Ingenieria,3,Python,Portugues - Intermedio,Contador/a,cordoba,Remoto,No,Salud,2024-05-29,417379
181,20,Femenino,Terciario,Ingenieria,3,Comunicacion,Portugues - Intermedio,Contador/a,neuquen,Full-Time,No,Contabilidad,2024-08-24,352106
182,54,Otro,Universitario,Abogacia,5,Diseno UX/UI,Sin idiomas,Analista de datos,cordoba,Full-Time,No,Contabilidad,2025-05-01,400403
183,34,Femenino,Universitario,Abogacia,19,Comunicacion,Frances - Basico,Recepcionista,neuquen,Remoto,No,Diseno,2024-06-09,666403
184,19,Otro,Universitario,Ingenieria,20,Redaccion,Portugues - Intermedio,Disenador grafico,neuquen,Part-Time,No,Legal,2024-06-26,656780
185,19,Femenino,Terciario,Recursos Humanos,12,Comunicacion,Frances - Basico,Docente,san juan,Part-Time,Si,Salud,2024-07-13,524808
186,45,Otro,Terciario,Psicologia,21,Diseno UX/UI,Ingles - Basico,Enfermero/a,cordoba,Full-Time,Si,Salud,2025-04-28,671783
187,40,Otro,Universitario,Arquitectura,4,Diseno UX/UI,Sin idiomas,Contador/a,neuquen,Remoto,Si,Tecnologia,2025-01-06,415778
188,54,Femenino,Posgrado,Marketing,22,Ingles,Portugues - Basico,Abogado/a,rosario,Full-Time,No,Salud,2024-08-25,717851
189,49,Masculino,Posgrado,Arquitectura,24,Ingles,Frances - Basico,Tecnico en sistemas,cordoba,Full-Time,No,Contabilidad,2025-01-22,672620
